F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45
388248,21911,825,23989,17554,137,449576,298723,58739,108074,6013,25506,0.18,0.29,5.09,1.43,0.21,0.34,5.64,21.45,1.05,6.18,13.07,665.38,66.45,508.56,403.44,162.6,588.51,43.84,26.72,22.53,6.52,10.17,164.53,6.57,0.9,0.86,8.24,9.93,6.7,-1.37,0.76,-1.05,4.15
373583,8264,-14802,22058,17687,145,432464,305370,43561,108074,621,23142,-3.36,-2.92,1.96,-28.94,-3.96,-3.45,2.21,17.92,0.42,5.9,10.07,892.77,70.61,701.01,470.93,145.42,758.86,49.67,29.73,15.27,2.45,6.95,117.67,2.15,0.88,0.85,7.89,9.17,7.93,-3.78,-62.28,-3.81,-25.84
373583,8264,-14802,22058,17687,145,432464,305370,43561,108074,621,23142,-3.36,-2.92,1.96,-28.94,-3.96,-3.45,2.21,17.92,0.42,5.9,10.07,892.77,70.61,701.01,470.93,145.42,758.86,49.67,29.73,15.27,2.45,6.95,117.67,2.15,0.88,0.85,7.89,9.17,7.93,-3.78,-62.28,-3.81,-25.84
373583,8264,-14802,22058,17687,145,432464,305370,43561,108074,621,23142,-3.36,-2.92,1.96,-28.94,-3.96,-3.45,2.21,17.92,0.42,5.9,10.07,892.77,70.61,701.01,470.93,145.42,758.86,49.67,29.73,15.27,2.45,6.95,117.67,2.15,0.88,0.85,7.89,9.17,7.93,-3.78,-62.28,-3.81,-25.84
373583,8264,-14802,22058,17687,145,432464,305370,43561,108074,621,23142,-3.36,-2.92,1.96,-28.94,-3.96,-3.45,2.21,17.92,0.42,5.9,10.07,892.77,70.61,701.01,470.93,145.42,758.86,49.67,29.73,15.27,2.45,6.95,117.67,2.15,0.88,0.85,7.89,9.17,7.93,-3.78,-62.28,-3.81,-25.84
373583,8264,-14802,22058,17687,145,432464,305370,43561,108074,621,23142,-3.36,-2.92,1.96,-28.94,-3.96,-3.45,2.21,17.92,0.42,5.9,10.07,892.77,70.61,701.01,470.93,145.42,758.86,49.67,29.73,15.27,2.45,6.95,117.67,2.15,0.88,0.85,7.89,9.17,7.93,-3.78,-62.28,-3.81,-25.84
345587,1352,-5622,14185,26027,10539,414345,156700,93792,13000,40917,48906,-1.3,-1.44,0.44,-5.9,-1.63,-1.8,0.39,37.25,0.56,4.1,22.64,341.77,37.82,167.07,238.24,152.37,310.12,55.26,54.31,34.17,2.31,7.92,193.02,8.78,1.12,0.8,3.34,157.4,8.62,-7.78,-90.72,-7.73,-3.1
596048,25529,2965,22156,78955,144,1082960,414442,521746,461441,102975,122765,0.29,0.43,2.5,0.59,0.5,0.74,4.28,16.18,1.2,3.72,48.18,107.56,38.27,79.43,72.63,128.41,173.27,47.22,30.42,44.24,4.46,19.65,528.57,17.94,0.58,0.58,5.51,10.01,12.71,-3.83,-76.25,10.52,8.93
596048,25529,2965,22156,78955,144,1082960,414442,521746,461441,102975,122765,0.29,0.43,2.5,0.59,0.5,0.74,4.28,16.18,1.2,3.72,48.18,107.56,38.27,79.43,72.63,128.41,173.27,47.22,30.42,44.24,4.46,19.65,528.57,17.94,0.58,0.58,5.51,10.01,12.71,-3.83,-76.25,10.52,8.93
596048,25529,2965,22156,78955,144,1082960,414442,521746,461441,102975,122765,0.29,0.43,2.5,0.59,0.5,0.74,4.28,16.18,1.2,3.72,48.18,107.56,38.27,79.43,72.63,128.41,173.27,47.22,30.42,44.24,4.46,19.65,528.57,17.94,0.58,0.58,5.51,10.01,12.71,-3.83,-76.25,10.52,8.93
711590,4626,-7910,23036,97482,234,997946,400091,513836,461441,95557,116180,-0.76,-0.97,0.45,-1.53,-1.11,-1.41,0.65,12.93,0.56,3.24,51.49,94.21,40.09,77.86,46.84,107.77,158.82,75.57,41.95,65.96,1.82,16.14,498.53,20.45,0.69,0.68,6.96,9.84,13.96,19.38,-81.88,-7.85,-1.52
711590,4626,-7910,23036,97482,234,997946,400091,513836,461441,95557,116180,-0.76,-0.97,0.45,-1.53,-1.11,-1.41,0.65,12.93,0.56,3.24,51.49,94.21,40.09,77.86,46.84,107.77,158.82,75.57,41.95,65.96,1.82,16.14,498.53,20.45,0.69,0.68,6.96,9.84,13.96,19.38,-81.88,-7.85,-1.52
1036044,139765,12919,65161,37947,2163,1763724,932072,665326,218122,43093,108426,0.75,2.03,11.17,1.91,1.25,3.38,13.49,25.39,1.54,6.29,37.72,165.09,52.85,140.09,86.16,116.33,208.14,66.1,43.7,24.93,9.67,17.49,278.17,10.96,0.83,0.6,6.92,8.05,12.66,3.25,-2.22,5.08,-3.64
1176085,139820,11416,61874,42947,2148,1708236,856776,626079,218122,40694,186097,0.66,6.1,10.52,1.77,0.97,9.01,11.89,24.23,2.71,5.26,36.65,172.85,50.16,136.85,97.98,118.58,207.37,66.83,40.15,26.24,14.27,15.93,302.81,4.54,0.88,0.68,6.41,8.05,12.57,13.52,0.04,-3.15,-5.9
1077728,66916,-126180,49355,45429,3956,1449618,760237,545713,218122,-3150,90757,-8.29,-3.84,5.53,-21.11,-11.71,-5.42,6.21,18.88,-0.18,4.58,37.65,165.64,52.44,139.31,79.02,110.87,206.9,74.34,41.16,-7.71,-0.84,10.82,236.22,3.47,0.89,0.71,6.41,7.6,15.53,-4.36,-26.8,-9.12,-16.03
1813794,80306,970,64245,131279,7618,2409782,1107544,909926,350000,111753,172257,0.04,0.09,4.5,0.1,0.05,0.12,4.43,19.36,1.03,3.54,37.76,164.83,45.96,121.72,90.47,114.53,199.7,72,45.96,32.52,3.66,12.06,340.52,15.96,1.02,0.79,5.98,9.68,12.85,2.87,-52.55,9.24,-5.9
