F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45
345587,1352,-5622,14185,26027,10539,414345,156700,93792,13000,40917,48906,-1.3,-1.44,0.44,-5.9,-1.63,-1.8,0.39,37.25,0.56,4.1,22.64,341.77,37.82,167.07,238.24,152.37,310.12,55.26,54.31,34.17,2.31,7.92,193.02,8.78,1.12,0.8,3.34,157.4,8.62,-7.78,-90.72,-7.73,-3.1
345587,1352,-5622,14185,26027,10539,414345,156700,93792,13000,40917,48906,-1.3,-1.44,0.44,-5.9,-1.63,-1.8,0.39,37.25,0.56,4.1,22.64,341.77,37.82,167.07,238.24,152.37,310.12,55.26,54.31,34.17,2.31,7.92,193.02,8.78,1.12,0.8,3.34,157.4,8.62,-7.78,-90.72,-7.73,-3.1
345587,1352,-5622,14185,26027,10539,414345,156700,93792,13000,40917,48906,-1.3,-1.44,0.44,-5.9,-1.63,-1.8,0.39,37.25,0.56,4.1,22.64,341.77,37.82,167.07,238.24,152.37,310.12,55.26,54.31,34.17,2.31,7.92,193.02,8.78,1.12,0.8,3.34,157.4,8.62,-7.78,-90.72,-7.73,-3.1
596048,25529,2965,22156,78955,144,1082960,414442,521746,461441,102975,122765,0.29,0.43,2.5,0.59,0.5,0.74,4.28,16.18,1.2,3.72,48.18,107.56,38.27,79.43,72.63,128.41,173.27,47.22,30.42,44.24,4.46,19.65,528.57,17.94,0.58,0.58,5.51,10.01,12.71,-3.83,-76.25,10.52,8.93
711590,4626,-7910,23036,97482,234,997946,400091,513836,461441,95557,116180,-0.76,-0.97,0.45,-1.53,-1.11,-1.41,0.65,12.93,0.56,3.24,51.49,94.21,40.09,77.86,46.84,107.77,158.82,75.57,41.95,65.96,1.82,16.14,498.53,20.45,0.69,0.68,6.96,9.84,13.96,19.38,-81.88,-7.85,-1.52
711590,4626,-7910,23036,97482,234,997946,400091,513836,461441,95557,116180,-0.76,-0.97,0.45,-1.53,-1.11,-1.41,0.65,12.93,0.56,3.24,51.49,94.21,40.09,77.86,46.84,107.77,158.82,75.57,41.95,65.96,1.82,16.14,498.53,20.45,0.69,0.68,6.96,9.84,13.96,19.38,-81.88,-7.85,-1.52
1813794,80306,970,64245,131279,7618,2409782,1107544,909926,350000,111753,172257,0.04,0.09,4.5,0.1,0.05,0.12,4.43,19.36,1.03,3.54,37.76,164.83,45.96,121.72,90.47,114.53,199.7,72,45.96,32.52,3.66,12.06,340.52,15.96,1.02,0.79,5.98,9.68,12.85,2.87,-52.55,9.24,-5.9
1813794,80306,970,64245,131279,7618,2409782,1107544,909926,350000,111753,172257,0.04,0.09,4.5,0.1,0.05,0.12,4.43,19.36,1.03,3.54,37.76,164.83,45.96,121.72,90.47,114.53,199.7,72,45.96,32.52,3.66,12.06,340.52,15.96,1.02,0.79,5.98,9.68,12.85,2.87,-52.55,9.24,-5.9
815694,32403,10772,20434,31332,3682,763093,299323,290822,30000,50937,79714,1.38,2.52,5.41,3.63,1.32,2.4,3.97,14.57,1.96,2.51,38.11,162.39,39.22,102.92,131.93,125.7,164,74.58,60.25,22.92,4.91,7.88,314.44,10.39,1.36,1.05,3.82,14.41,9.09,8.49,2.73,-3.75,-3.88
453332,51785,34814,12569,13303,241,469873,175964,178676,150044,-5536,1463,8.73,8.75,14.58,24.51,7.68,7.7,11.42,14.7,3.78,2.77,38.03,162.97,37.45,98.48,83.1,89.54,161.06,122.64,84.38,90.91,10.48,14.44,520.93,22.89,1.28,1.14,6.13,8.73,9.29,36.23,103.06,43.25,69.58
352762,25229,15993,6709,25833,435,661189,281716,256610,240000,33910,34677,3.08,3.8,6.45,8.04,4.53,5.59,7.15,11.44,3.94,1.9,38.81,157.66,42.61,109.78,74.63,115.12,210.71,62.91,48.92,58.21,7.49,14.64,769.65,13.09,0.9,0.68,5.19,15.22,8.75,47.48,20.02,75.67,81.79
682848,19871,9483,15134,48878,591,806515,380751,266140,240000,81173,67441,1.29,1.46,3.31,3.63,1.39,1.57,2.91,8.14,1.71,2.22,33,203.04,47.21,143.06,114.81,128.4,241.69,53.44,39.36,42.2,3.78,10.6,478.17,16.16,1.14,0.93,7.19,19.56,10.67,93.57,-21.23,21.98,3.71
1516402,493194,346941,952,154932,692,3352584,1058845,1991986,332700,511117,652122,11.02,15.46,27.32,19.07,22.88,32.08,32.52,33.83,511.78,0.06,59.42,68.3,31.58,53.16,20.91,106.05,156.3,57.38,42.42,314.32,32.15,42.94,68364.8,37.69,0.84,0.48,11.77,26.17,18.44,1.86,12.04,13.99,21.03
2019628,331849,186199,54728,370619,497,3868282,1447862,2095810,230900,584899,716477,4.96,7.04,10.36,9.3,9.22,13.09,16.43,17.58,5.83,2.71,54.18,84.57,37.43,69.08,43.64,115.98,163.45,48.4,40.56,88.99,15.8,34.79,1283.94,32.77,0.63,0.54,13.03,29.39,21.03,12.53,30.89,6.22,9.74
25112331,1325917,2448611,472979,1781345,22071,61626841,12829548,42205662,3207839,2733189,3501781,4.06,5.28,4.24,5.94,9.75,12.67,5.28,9.88,7.73,1.88,68.49,46.02,20.82,30.4,13.47,104.93,139.08,51.48,49.85,164.2,14.55,12.69,673.77,12.86,0.8,0.42,13.59,307.7,14.42,6.41,-32.8,4.6,4.79
188926,5896,-7907,11831,9477,9477,545968,268166,230924,40000,6157,11694,-1.51,-2.03,1.57,-3.27,-4.19,-5.61,3.12,62.78,0.1,6.26,42.3,136.43,49.12,116.13,50.34,110.96,206.49,59.48,38.59,17.92,0.65,8.2,130.9,5.16,0.5,0.36,19.33,7.13,16.51,0.6,-11.38,8.88,-8.51
1250485,18909,-87508,57625,107684,2295,1787751,691341,717852,102709,203510,234295,-4.95,-5.69,1.52,-11.36,-7,-8.03,1.51,10.19,-0.74,4.61,40.15,149.04,38.67,96.31,62.36,111.15,207.49,66.64,34.32,35.24,-3.43,10.17,220.59,11.68,1,0.71,9.22,9.11,8.32,1.92,-82.82,2.47,-12.79
1250485,18909,-87508,57625,107684,2295,1787751,691341,717852,102709,203510,234295,-4.95,-5.69,1.52,-11.36,-7,-8.03,1.51,10.19,-0.74,4.61,40.15,149.04,38.67,96.31,62.36,111.15,207.49,66.64,34.32,35.24,-3.43,10.17,220.59,11.68,1,0.71,9.22,9.11,8.32,1.92,-82.82,2.47,-12.79
1250485,18909,-87508,57625,107684,2295,1787751,691341,717852,102709,203510,234295,-4.95,-5.69,1.52,-11.36,-7,-8.03,1.51,10.19,-0.74,4.61,40.15,149.04,38.67,96.31,62.36,111.15,207.49,66.64,34.32,35.24,-3.43,10.17,220.59,11.68,1,0.71,9.22,9.11,8.32,1.92,-82.82,2.47,-12.79
1289908,20769,-151550,58536,114601,3190,1675116,738827,526615,102709,82576,179165,-8.75,-6.25,1.68,-24.36,-11.75,-8.39,1.61,9.02,-1.71,4.54,31.44,218.09,44.11,140.3,112.85,128.15,263.03,48.79,21.7,7.29,-3.86,10.54,232.19,4.84,1.04,0.74,10.72,8.44,6.46,3.15,9.84,-6.3,-26.64
167444,7397,1952,5643,5280,5262,154596,61281,51329,17377,-9769,-3601,1.25,1.86,5.08,3.84,1.17,1.73,4.42,55.7,1.51,3.37,33.2,201.19,39.64,119.39,147.19,53.82,82.88,148.31,71.67,28.58,5.1,7.59,225.13,8.2,1.15,1.08,4.89,3.14,4.5,-8.28,-60.41,-1.25,1.87
191324,9738,1704,6277,5209,5203,164972,65497,44100,17377,10840,16758,1.05,1.45,6.38,3.91,0.89,1.23,5.09,54.85,1.37,3.28,26.73,274.08,39.7,148.52,237.26,66.21,90.59,119.49,53.32,21.34,4.51,7.83,238.58,15.16,1.25,1.18,5.61,2.86,4.89,7.88,7.38,3.96,2.21
130746,1350,2425,1061,2136,1297,80427,34180,35415,8977,257,809,3.28,4.67,2.31,7.03,1.85,2.64,1.03,21,4.25,0.81,44.03,127.1,42.5,96.51,101.14,78.49,98.87,126.79,73.77,22.54,3.45,2.67,328.64,8.34,2.24,1.77,8.04,6.67,68.01,11.04,-58.05,19.63,5.55
130746,1350,2425,1061,2136,1297,80427,34180,35415,8977,257,809,3.28,4.67,2.31,7.03,1.85,2.64,1.03,21,4.25,0.81,44.03,127.1,42.5,96.51,101.14,78.49,98.87,126.79,73.77,22.54,3.45,2.67,328.64,8.34,2.24,1.77,8.04,6.67,68.01,11.04,-58.05,19.63,5.55
302343,32534,22108,10113,4420,316,229541,99820,90405,18400,15804,33351,9.53,12.14,18.03,25.33,7.31,9.32,10.76,16.02,3.79,3.34,39.39,153.9,43.49,110.41,121.48,108.1,143.15,91.17,58.98,44.34,12.66,12.26,366.66,17.26,1.68,1.3,16.81,8.78,10.47,-0.87,17.63,-2.17,7.41
2323457,258268,131879,79221,93446,1634,3203666,1632264,1216960,421186,272268,381605,4.45,6.18,10.31,11.27,5.68,7.87,11.12,15.52,3.31,3.41,37.99,163.25,50.95,134.13,127.51,129.97,176.42,68.1,48.58,24.15,11.28,15.21,446.21,13.33,0.93,0.78,14.26,7.96,11.19,18.67,43.35,17.87,8.25
